Timestamp,Heart Rate,RR Interval in seconds
2023-11-04 19:13:38+00:00,96,0.624
2023-11-04 19:13:39+00:00,96,0.624
2023-11-04 19:13:40+00:00,96,0.625
2023-11-04 19:13:40+00:00,96,0.622
2023-11-04 19:13:41+00:00,96,0.617
2023-11-04 19:13:42+00:00,97,0.615
2023-11-04 19:13:42+00:00,97,0.608
2023-11-04 19:13:43+00:00,97,0.605
2023-11-04 19:13:43+00:00,97,0.6
2023-11-04 19:13:44+00:00,98,0.602
2023-11-04 19:13:45+00:00,98,0.605
2023-11-04 19:13:45+00:00,98,0.606
2023-11-04 19:13:46+00:00,99,0.604
2023-11-04 19:13:46+00:00,99,0.599
2023-11-04 19:13:47+00:00,99,0.599
2023-11-04 19:13:48+00:00,99,0.604
2023-11-04 19:13:48+00:00,99,0.606
2023-11-04 19:13:49+00:00,99,0.608
2023-11-04 19:13:49+00:00,99,0.607
2023-11-04 19:13:50+00:00,99,0.604
2023-11-04 19:13:51+00:00,99,0.606
2023-11-04 19:13:51+00:00,99,0.605
2023-11-04 19:13:52+00:00,99,0.604
2023-11-04 19:13:52+00:00,99,0.601
2023-11-04 19:13:53+00:00,99,0.605
2023-11-04 19:13:54+00:00,99,0.61
2023-11-04 19:13:54+00:00,99,0.608
2023-11-04 19:13:55+00:00,99,0.61
2023-11-04 19:13:56+00:00,99,0.613
2023-11-04 19:13:56+00:00,99,0.618
2023-11-04 19:13:57+00:00,98,0.625
2023-11-04 19:13:57+00:00,98,0.631
2023-11-04 19:13:58+00:00,98,0.635
2023-11-04 19:13:59+00:00,97,0.637
2023-11-04 19:13:59+00:00,97,0.638
2023-11-04 19:14:00+00:00,96,0.644
2023-11-04 19:14:01+00:00,95,0.646
2023-11-04 19:14:01+00:00,95,0.649
2023-11-04 19:14:02+00:00,94,0.642
2023-11-04 19:14:02+00:00,94,0.631
2023-11-04 19:14:03+00:00,94,0.624
2023-11-04 19:14:04+00:00,95,0.613
2023-11-04 19:14:04+00:00,95,0.614
2023-11-04 19:14:05+00:00,96,0.607
2023-11-04 19:14:06+00:00,97,0.599
2023-11-04 19:14:06+00:00,97,0.596
2023-11-04 19:14:07+00:00,98,0.602
2023-11-04 19:14:07+00:00,98,0.616
2023-11-04 19:14:08+00:00,98,0.623
2023-11-04 19:14:09+00:00,97,0.629
2023-11-04 19:14:09+00:00,97,0.637
2023-11-04 19:14:10+00:00,97,0.635
2023-11-04 19:14:11+00:00,96,0.632
2023-11-04 19:14:11+00:00,96,0.63
2023-11-04 19:14:12+00:00,96,0.622
2023-11-04 19:14:12+00:00,96,0.624
2023-11-04 19:14:13+00:00,96,0.632
2023-11-04 19:14:14+00:00,96,0.646
2023-11-04 19:14:14+00:00,96,0.664
2023-11-04 19:14:15+00:00,95,0.683
2023-11-04 19:14:16+00:00,94,0.688
2023-11-04 19:14:17+00:00,92,0.692
2023-11-04 19:14:17+00:00,92,0.687
2023-11-04 19:14:18+00:00,91,0.683
2023-11-04 19:14:19+00:00,90,0.68
2023-11-04 19:14:19+00:00,90,0.674
2023-11-04 19:14:20+00:00,90,0.663
2023-11-04 19:14:21+00:00,90,0.674
2023-11-04 19:14:21+00:00,90,0.688
2023-11-04 19:14:22+00:00,90,0.707
2023-11-04 19:14:23+00:00,89,0.694
2023-11-04 19:14:23+00:00,89,0.677
2023-11-04 19:14:24+00:00,88,0.687
2023-11-04 19:14:25+00:00,88,0.688
2023-11-04 19:14:25+00:00,88,0.693
2023-11-04 19:14:26+00:00,88,0.681
2023-11-04 19:14:27+00:00,88,0.674
2023-11-04 19:14:27+00:00,88,0.663
2023-11-04 19:14:28+00:00,88,0.649
2023-11-04 19:14:29+00:00,89,0.64
2023-11-04 19:14:29+00:00,89,0.635
2023-11-04 19:14:30+00:00,90,0.631
2023-11-04 19:14:31+00:00,91,0.634
2023-11-04 19:14:31+00:00,91,0.645
2023-11-04 19:14:32+00:00,92,0.65
2023-11-04 19:14:32+00:00,92,0.645
2023-11-04 19:14:33+00:00,92,0.654
2023-11-04 19:14:34+00:00,92,0.653
2023-11-04 19:14:34+00:00,92,0.653
2023-11-04 19:14:35+00:00,92,0.661
2023-11-04 19:14:36+00:00,92,0.661
2023-11-04 19:14:36+00:00,92,0.656
2023-11-04 19:14:37+00:00,92,0.645
2023-11-04 19:14:38+00:00,92,0.648
2023-11-04 19:14:38+00:00,92,0.648
2023-11-04 19:14:39+00:00,92,0.649
2023-11-04 19:14:40+00:00,92,0.649
2023-11-04 19:14:40+00:00,92,0.655
2023-11-04 19:14:41+00:00,92,0.663
2023-11-04 19:14:51+00:00,90,0.652
2023-11-04 19:14:52+00:00,91,0.654
2023-11-04 19:14:52+00:00,91,0.66
2023-11-04 19:14:53+00:00,91,0.659
2023-11-04 19:14:54+00:00,91,0.656
2023-11-04 19:14:54+00:00,91,0.65
2023-11-04 19:14:55+00:00,91,0.652
2023-11-04 19:14:56+00:00,91,0.649
2023-11-04 19:14:56+00:00,91,0.649
2023-11-04 19:14:57+00:00,91,0.653
2023-11-04 19:14:58+00:00,91,0.664
2023-11-04 19:14:58+00:00,91,0.67
2023-11-04 19:14:59+00:00,91,0.665
2023-11-04 19:15:00+00:00,91,0.666
2023-11-04 19:15:00+00:00,91,0.667
2023-11-04 19:15:01+00:00,91,0.673
2023-11-04 19:15:02+00:00,91,0.658
2023-11-04 19:15:02+00:00,91,0.659
2023-11-04 19:15:03+00:00,91,0.653
2023-11-04 19:15:03+00:00,91,0.641
2023-11-04 19:15:04+00:00,91,0.632
2023-11-04 19:15:05+00:00,92,0.62
2023-11-04 19:15:05+00:00,92,0.616
2023-11-04 19:15:06+00:00,93,0.615
2023-11-04 19:15:07+00:00,94,0.616
2023-11-04 19:15:07+00:00,94,0.617
2023-11-04 19:15:08+00:00,95,0.616
2023-11-04 19:15:08+00:00,95,0.614
2023-11-04 19:15:09+00:00,96,0.614
2023-11-04 19:15:10+00:00,97,0.604
2023-11-04 19:15:10+00:00,97,0.604
2023-11-04 19:15:11+00:00,97,0.604
2023-11-04 19:15:11+00:00,97,0.605
2023-11-04 19:15:12+00:00,98,0.598
2023-11-04 19:15:13+00:00,99,0.602
2023-11-04 19:15:13+00:00,99,0.604
2023-11-04 19:15:14+00:00,99,0.609
2023-11-04 19:15:15+00:00,99,0.609
2023-11-04 19:15:15+00:00,99,0.611
2023-11-04 19:15:16+00:00,98,0.627
2023-11-04 19:15:16+00:00,98,0.641
2023-11-04 19:15:17+00:00,98,0.651
2023-11-04 19:15:18+00:00,96,0.667
2023-11-04 19:15:18+00:00,96,0.675
2023-11-04 19:15:19+00:00,95,0.667
2023-11-04 19:15:20+00:00,93,0.653
2023-11-04 19:15:20+00:00,93,0.646
2023-11-04 19:15:21+00:00,93,0.661
2023-11-04 19:15:22+00:00,93,0.671
2023-11-04 19:15:23+00:00,92,0.691
2023-11-04 19:15:23+00:00,92,0.705
2023-11-04 19:15:24+00:00,91,0.718
2023-11-04 19:15:25+00:00,89,0.731
2023-11-04 19:15:25+00:00,89,0.737
2023-11-04 19:15:26+00:00,88,0.736
2023-11-04 19:15:27+00:00,87,0.734
2023-11-04 19:15:28+00:00,86,0.73
2023-11-04 19:15:28+00:00,86,0.732
2023-11-04 19:15:29+00:00,85,0.726
2023-11-04 19:15:30+00:00,85,0.719
2023-11-04 19:15:30+00:00,85,0.705
2023-11-04 19:15:31+00:00,85,0.692
2023-11-04 19:15:32+00:00,85,0.695
2023-11-04 19:15:33+00:00,85,0.695
